utc,rssi_dbm,mcs,implied_range_m,rate_m_per_s
1651772561,-24,2,15,
1651772564,-23,2,13,-0.7
1651772566,-25,2,16,1.5
1651772568,-25,2,16,0.0
1651772570,-25,2,16,0.0
1651772572,-24,4,15,-0.5
1651772574,-25,6,16,0.5
1651772576,-25,4,16,0.0
1651772578,-24,6,15,-0.5
1651772580,-23,4,13,-1.0
1651772582,-22,4,12,-0.5
1651772584,-24,4,15,1.5
1651772586,-24,4,15,0.0
1651772588,-25,4,16,0.5
1651772590,-24,4,15,-0.5
1651772592,-24,4,15,0.0
1651772594,-26,6,18,1.5
1651772596,-22,4,12,-3.0
1651772598,-23,4,13,0.5
1651772600,-25,4,16,1.5
1651772602,-26,4,18,1.0
1651772604,-26,4,18,0.0
1651772606,-26,4,18,0.0
1651772608,-26,4,18,0.0
1651772610,-24,4,15,-1.5
1651772612,-25,4,16,0.5
1651772614,-24,4,15,-0.5
1651772616,-23,4,13,-1.0
1651772618,-23,4,13,0.0
1651772620,-24,4,15,1.0
1651772622,-25,4,16,0.5
1651772624,-24,4,15,-0.5
1651772626,-25,4,16,0.5
1651772628,-26,4,18,1.0
1651772630,-24,4,15,-1.5
1651772632,-25,4,16,0.5
1651772634,-25,4,16,0.0
1651772636,-25,4,16,0.0
1651772638,-23,4,13,-1.5
1651772640,-24,4,15,1.0
1651772642,-24,4,15,0.0
1651772644,-24,4,15,0.0
1651772646,-23,6,13,-1.0
1651772648,-25,4,16,1.5
1651772650,-25,2,16,0.0
1651772652,-24,2,15,-0.5
1651772654,-25,4,16,0.5
1651772656,-24,4,15,-0.5
1651772658,-20,4,9,-3.0
1651772660,-26,4,18,4.5
1651772662,-25,4,16,-1.0
1651772664,-23,4,13,-1.5
1651772666,-25,4,16,1.5
1651772668,-25,4,16,0.0
1651772670,-25,4,16,0.0
1651772672,-26,4,18,1.0
1651772674,-24,4,15,-1.5
1651772676,-24,4,15,0.0
1651772678,-25,4,16,0.5
1651772680,-23,4,13,-1.5
1651772682,-22,4,12,-0.5
1651772684,-21,4,10,-1.0
1651772686,-22,4,12,1.0
1651772688,-23,4,13,0.5
1651772690,-24,4,15,1.0
1651772692,-24,4,15,0.0
1651772694,-24,4,15,0.0
1651772696,-24,4,15,0.0
1651772698,-20,4,9,-3.0
1651772700,-25,4,16,3.5
1651772702,-25,4,16,0.0
1651772704,-26,4,18,1.0
1651772706,-24,4,15,-1.5
1651772708,-24,4,15,0.0
1651772710,-26,4,18,1.5
1651772712,-26,4,18,0.0
1651772714,-25,4,16,-1.0
1651772716,-25,2,16,0.0
1651772718,-24,2,15,-0.5
1651772720,-25,2,16,0.5
1651772722,-25,2,16,0.0
1651772724,-24,2,15,-0.5
1651772726,-25,2,16,0.5
1651772728,-27,2,21,2.5
1651772730,-25,4,16,-2.5
1651772732,-25,4,16,0.0
1651772734,-22,4,12,-2.0
1651772736,-17,4,7,-2.5
1651772738,-16,4,6,-0.5
1651772740,-16,4,6,0.0
1651772742,-26,4,18,6.0
1651772744,-23,4,13,-2.5
1651772746,-22,4,12,-0.5
1651772748,-23,4,13,0.5
1651772750,-24,4,15,1.0
1651772752,-24,4,15,0.0
1651772754,-24,4,15,0.0
1651772756,-26,4,18,1.5
1651772758,-24,4,15,-1.5
1651772760,-22,4,12,-1.5
1651772762,-25,4,16,2.0
1651772764,-25,4,16,0.0
1651772766,-24,4,15,-0.5
1651772768,-23,4,13,-1.0
1651772770,-26,4,18,2.5
1651772772,-16,4,6,-6.0
1651772774,-24,4,15,4.5
1651772776,-22,4,12,-1.5
1651772778,-26,4,18,3.0
1651772780,-23,4,13,-2.5
1651772782,-23,4,13,0.0
1651772784,-25,4,16,1.5
1651772786,-25,4,16,0.0
1651772788,-24,4,15,-0.5
1651772790,-26,4,18,1.5
1651772792,-26,4,18,0.0
1651772794,-24,4,15,-1.5
1651772796,-21,4,10,-2.5
1651772798,-26,4,18,4.0
1651772800,-24,4,15,-1.5
1651772802,-25,4,16,0.5
1651772804,-25,4,16,0.0
1651772806,-25,4,16,0.0
1651772808,-24,4,15,-0.5
1651772810,-26,4,18,1.5
1651772812,-24,4,15,-1.5
1651772814,-25,4,16,0.5
1651772816,-27,4,21,2.5
1651772818,-23,4,13,-4.0
1651772820,-24,6,15,1.0
1651772822,-25,4,16,0.5
1651772824,-25,4,16,0.0
1651772826,-24,4,15,-0.5
1651772828,-25,4,16,0.5
1651772830,-25,4,16,0.0
1651772832,-24,4,15,-0.5
1651772834,-26,4,18,1.5
1651772836,-26,4,18,0.0
1651772838,-24,4,15,-1.5
1651772840,-27,4,21,3.0
1651772842,-22,4,12,-4.5
1651772844,-25,4,16,2.0
1651772846,-25,4,16,0.0
1651772848,-25,4,16,0.0
1651772850,-25,4,16,0.0
1651772852,-25,2,16,0.0
1651772854,-23,2,13,-1.5
1651772856,-25,2,16,1.5
1651772858,-26,4,18,1.0
1651772860,-24,4,15,-1.5
1651772862,-25,6,16,0.5
1651772864,-25,4,16,0.0
1651772866,-25,2,16,0.0
1651772868,-22,2,12,-2.0
1651772870,-26,2,18,3.0
1651772872,-25,2,16,-1.0
1651772874,-26,2,18,1.0
1651772876,-24,2,15,-1.5
1651772878,-25,4,16,0.5
1651772880,-24,4,15,-0.5
1651772882,-26,4,18,1.5
1651772884,-25,4,16,-1.0
1651772886,-26,4,18,1.0
1651772888,-20,4,9,-4.5
1651772890,-28,4,23,7.0
1651772892,-23,4,13,-5.0
1651772894,-25,4,16,1.5
1651772896,-26,4,18,1.0
1651772898,-23,4,13,-2.5
1651772900,-25,6,16,1.5
1651772902,-26,2,18,1.0
1651772904,-24,4,15,-1.5
1651772906,-26,4,18,1.5
1651772908,-23,4,13,-2.5
1651772910,-25,2,16,1.5
1651772912,-25,4,16,0.0
1651772914,-23,4,13,-1.5
1651772916,-25,4,16,1.5
1651772918,-26,4,18,1.0
1651772920,-26,4,18,0.0
1651772922,-24,4,15,-1.5
1651772924,-25,4,16,0.5
1651772926,-26,4,18,1.0
1651772928,-26,4,18,0.0
1651772930,-25,4,16,-1.0
1651772932,-24,4,15,-0.5
1651772934,-23,4,13,-1.0
1651772936,-25,4,16,1.5
1651772938,-26,4,18,1.0
1651772940,-25,4,16,-1.0
1651772942,-26,4,18,1.0
1651772944,-24,4,15,-1.5
1651772946,-27,4,21,3.0
1651772948,-26,4,18,-1.5
1651772950,-23,4,13,-2.5
1651772952,-23,4,13,0.0
1651772954,-25,4,16,1.5
1651772956,-25,4,16,0.0
1651772958,-26,6,18,1.0
1651772960,-24,2,15,-1.5
1651772962,-24,4,15,0.0
1651772964,-23,4,13,-1.0
1651772966,-26,4,18,2.5
1651772968,-24,4,15,-1.5
1651772970,-27,4,21,3.0
1651772972,-24,4,15,-3.0
1651772974,-25,4,16,0.5
1651772976,-24,4,15,-0.5
1651772978,-26,4,18,1.5
1651772980,-24,4,15,-1.5
1651772982,-27,4,21,3.0
1651772984,-26,4,18,-1.5
1651772986,-26,4,18,0.0
1651772988,-25,4,16,-1.0
1651772990,-25,4,16,0.0
1651772992,-24,4,15,-0.5
1651772994,-25,4,16,0.5
1651772996,-26,4,18,1.0
1651772998,-25,4,16,-1.0
1651773000,-24,4,15,-0.5
1651773002,-24,4,15,0.0
1651773004,-24,4,15,0.0
1651773006,-26,4,18,1.5
1651773008,-23,4,13,-2.5
1651773010,-21,4,10,-1.5
1651773012,-25,4,16,3.0
1651773014,-25,4,16,0.0
1651773016,-25,4,16,0.0
1651773018,-24,4,15,-0.5
1651773020,-27,4,21,3.0
1651773022,-26,2,18,-1.5
1651773024,-23,4,13,-2.5
1651773026,-20,4,9,-2.0
1651773028,-24,4,15,3.0
1651773030,-23,4,13,-1.0
1651773032,-24,4,15,1.0
1651773034,-26,4,18,1.5
1651773036,-25,6,16,-1.0
1651773038,-24,2,15,-0.5
1651773040,-25,4,16,0.5
1651773042,-25,4,16,0.0
1651773044,-24,4,15,-0.5
1651773046,-23,4,13,-1.0
1651773048,-24,4,15,1.0
1651773050,-23,4,13,-1.0
1651773052,-24,6,15,1.0
1651773054,-26,4,18,1.5
1651773056,-22,4,12,-3.0
1651773058,-25,4,16,2.0
1651773060,-26,4,18,1.0
1651773062,-25,4,16,-1.0
1651773064,-25,4,16,0.0
1651773066,-24,4,15,-0.5
1651773068,-24,4,15,0.0
1651773070,-21,2,10,-2.5
1651773072,-27,2,21,5.5
1651773074,-25,2,16,-2.5
1651773076,-23,2,13,-1.5
1651773078,-27,2,21,4.0
1651773080,-23,2,13,-4.0
1651773082,-23,4,13,0.0
1651773084,-25,4,16,1.5
1651773086,-24,4,15,-0.5
1651773088,-24,4,15,0.0
1651773090,-23,4,13,-1.0
1651773092,-23,4,13,0.0
1651773094,-23,4,13,0.0
1651773096,-24,4,15,1.0
1651773098,-32,4,37,11.0
1651773100,-33,4,41,2.0
1651773151,-17,0,7,-0.7
1651773153,-18,0,7,0.0
1651773155,-16,0,6,-0.5
1651773157,-18,0,7,0.5
1651773159,-19,0,8,0.5
1651773161,-17,0,7,-0.5
1651773163,-18,0,7,0.0
1651773165,-17,0,7,0.0
1651773167,-17,0,7,0.0
1651773169,-17,0,7,0.0
1651773171,-18,0,7,0.0
1651773173,-20,0,9,1.0
1651773175,-19,0,8,-0.5
1651773177,-19,0,8,0.0
1651773179,-20,0,9,0.5
1651773181,-26,0,18,4.5
1651773183,-26,4,18,0.0
1651773185,-28,6,23,2.5
1651773187,-26,6,18,-2.5
1651773189,-26,6,18,0.0
1651773191,-25,6,16,-1.0
1651773193,-27,0,21,2.5
1651773195,-27,2,21,0.0
1651773197,-26,2,18,-1.5
1651773199,-26,2,18,0.0
1651773201,-24,2,15,-1.5
1651773203,-27,2,21,3.0
1651773205,-22,2,12,-4.5
1651773207,-26,2,18,3.0
1651773209,-26,2,18,0.0
1651773211,-26,2,18,0.0
1651773213,-29,2,26,4.0
1651773215,-25,2,16,-5.0
1651773217,-26,2,18,1.0
1651773219,-28,6,23,2.5
1651773221,-25,6,16,-3.5
1651773223,-26,6,18,1.0
1651773225,-28,6,23,2.5
1651773227,-28,6,23,0.0
1651773229,-25,6,16,-3.5
1651773231,-24,6,15,-0.5
1651773233,-22,6,12,-1.5
1651773235,-25,2,16,2.0
1651773237,-26,4,18,1.0
1651773239,-24,4,15,-1.5
1651773241,-26,6,18,1.5
1651773243,-26,4,18,0.0
1651773245,-26,4,18,0.0
1651773247,-26,6,18,0.0
1651773249,-27,6,21,1.5
1651773251,-25,6,16,-2.5
1651773253,-25,6,16,0.0
1651773255,-28,6,23,3.5
1651773257,-26,4,18,-2.5
1651773259,-26,4,18,0.0
1651773261,-27,2,21,1.5
1651773263,-27,4,21,0.0
1651773265,-26,4,18,-1.5
1651773267,-27,4,21,1.5
1651773269,-27,4,21,0.0
1651773271,-27,4,21,0.0
1651773273,-27,4,21,0.0
1651773275,-25,6,16,-2.5
1651773277,-24,6,15,-0.5
1651773279,-25,6,16,0.5
1651773281,-26,6,18,1.0
1651773283,-26,6,18,0.0
1651773285,-26,6,18,0.0
1651773287,-25,4,16,-1.0
1651773289,-26,4,18,1.0
1651773291,-25,4,16,-1.0
1651773293,-27,6,21,2.5
1651773295,-23,6,13,-4.0
1651773297,-26,6,18,2.5
1651773299,-28,6,23,2.5
1651773301,-27,4,21,-1.0
1651773303,-24,4,15,-3.0
1651773305,-24,4,15,0.0
1651773307,-23,4,13,-1.0
1651773309,-27,4,21,4.0
1651773311,-26,4,18,-1.5
1651773313,-21,4,10,-4.0
1651773315,-28,4,23,6.5
1651773317,-24,4,15,-4.0
1651773319,-28,4,23,4.0
1651773321,-26,4,18,-2.5
1651773323,-27,4,21,1.5
1651773325,-25,4,16,-2.5
1651773327,-25,6,16,0.0
1651773329,-20,6,9,-3.5
1651773331,-21,6,10,0.5
1651773333,-28,6,23,6.5
1651773335,-23,6,13,-5.0
1651773337,-27,6,21,4.0
1651773339,-27,6,21,0.0
1651773341,-26,4,18,-1.5
1651773343,-26,4,18,0.0
1651773345,-28,4,23,2.5
1651773347,-25,4,16,-3.5
1651773349,-25,4,16,0.0
1651773351,-26,4,18,1.0
1651773353,-26,4,18,0.0
1651773355,-27,6,21,1.5
1651773357,-26,6,18,-1.5
1651773359,-24,6,15,-1.5
1651773361,-27,6,21,3.0
1651773363,-28,6,23,1.0
1651773365,-28,6,23,0.0
1651773367,-27,4,21,-1.0
1651773369,-26,4,18,-1.5
1651773371,-28,4,23,2.5
1651773373,-26,4,18,-2.5
1651773375,-28,4,23,2.5
1651773377,-26,4,18,-2.5
1651773379,-26,4,18,0.0
1651773381,-27,4,21,1.5
1651773383,-28,4,23,1.0
1651773385,-24,4,15,-4.0
1651773387,-28,4,23,4.0
1651773389,-28,4,23,0.0
1651773391,-22,4,12,-5.5
1651773393,-26,4,18,3.0
1651773395,-27,4,21,1.5
1651773397,-28,4,23,1.0
1651773399,-25,6,16,-3.5
1651773401,-27,4,21,2.5
1651773403,-25,6,16,-2.5
1651773405,-27,6,21,2.5
1651773407,-24,6,15,-3.0
1651773409,-27,4,21,3.0
1651773411,-23,4,13,-4.0
1651773413,-26,4,18,2.5
1651773415,-28,2,23,2.5
1651773417,-25,4,16,-3.5
1651773419,-22,4,12,-2.0
1651773421,-26,4,18,3.0
1651773423,-26,4,18,0.0
1651773425,-26,4,18,0.0
1651773427,-26,6,18,0.0
1651773429,-26,6,18,0.0
1651773431,-26,6,18,0.0
1651773433,-27,6,21,1.5
1651773435,-26,6,18,-1.5
1651773437,-26,6,18,0.0
1651773439,-27,6,21,1.5
1651773441,-26,6,18,-1.5
1651773443,-27,6,21,1.5
1651773445,-25,4,16,-2.5
1651773447,-25,4,16,0.0
1651773449,-26,4,18,1.0
1651773451,-22,4,12,-3.0
1651773453,-27,4,21,4.5
1651773455,-26,6,18,-1.5
1651773457,-79,4,8198,4090.0
1651773459,-24,4,15,-4091.5
1651773461,-25,4,16,0.5
1651773463,-26,6,18,1.0
1651773465,-25,6,16,-1.0
1651773467,-26,6,18,1.0
1651773469,-24,2,15,-1.5
1651773471,-27,2,21,3.0
1651773473,-26,4,18,-1.5
1651773475,-26,4,18,0.0
1651773477,-27,4,21,1.5
1651773479,-27,4,21,0.0
1651773481,-27,4,21,0.0
1651773483,-25,4,16,-2.5
1651773485,-26,6,18,1.0
1651773487,-26,6,18,0.0
1651773489,-25,6,16,-1.0
1651773491,-28,6,23,3.5
1651773493,-26,6,18,-2.5
1651773495,-26,6,18,0.0
1651773497,-27,6,21,1.5
1651773499,-27,6,21,0.0
1651773501,-25,6,16,-2.5
1651773503,-27,6,21,2.5
1651773505,-22,6,12,-4.5
1651773507,-26,6,18,3.0
1651773509,-25,6,16,-1.0
1651773511,-27,6,21,2.5
1651773513,-25,6,16,-2.5
1651773515,-26,4,18,1.0
1651773517,-28,4,23,2.5
1651773519,-26,4,18,-2.5
1651773521,-26,4,18,0.0
1651773523,-26,4,18,0.0
1651773525,-27,4,21,1.5
1651773527,-27,2,21,0.0
1651773529,-27,4,21,0.0
1651773531,-22,6,12,-4.5
1651773533,-25,4,16,2.0
1651773535,-25,4,16,0.0
1651773537,-28,4,23,3.5
1651773539,-27,4,21,-1.0
1651773541,-28,4,23,1.0
1651773543,-29,4,26,1.5
1651773545,-27,4,21,-2.5
1651773547,-27,6,21,0.0
1651773549,-26,4,18,-1.5
1651773551,-28,6,23,2.5
1651773553,-23,6,13,-5.0
1651773555,-25,4,16,1.5
1651773557,-23,4,13,-1.5
1651773559,-26,4,18,2.5
1651773561,-29,4,26,4.0
1651773563,-26,4,18,-4.0
1651773565,-26,4,18,0.0
1651773567,-26,4,18,0.0
1651773569,-27,4,21,1.5
1651773571,-25,4,16,-2.5
1651773573,-24,6,15,-0.5
1651773575,-26,6,18,1.5
1651773577,-27,6,21,1.5
1651773579,-25,4,16,-2.5
1651773581,-27,4,21,2.5
1651773583,-28,4,23,1.0
1651773585,-27,6,21,-1.0
1651773587,-25,6,16,-2.5
1651773589,-28,6,23,3.5
1651773591,-27,4,21,-1.0
1651773593,-28,4,23,1.0
1651773595,-26,4,18,-2.5
1651773597,-28,6,23,2.5
1651773599,-24,6,15,-4.0
1651773601,-26,4,18,1.5
1651773603,-27,4,21,1.5
1651773605,-28,6,23,1.0
1651773607,-27,6,21,-1.0
1651773609,-24,6,15,-3.0
1651773611,-27,6,21,3.0
1651773613,-26,6,18,-1.5
1651773615,-28,4,23,2.5
1651773617,-27,4,21,-1.0
1651773619,-28,4,23,1.0
1651773621,-24,6,15,-4.0
1651773623,-25,4,16,0.5
1651773625,-27,4,21,2.5
1651773627,-28,4,23,1.0
1651773629,-28,4,23,0.0
1651773631,-26,4,18,-2.5
1651773633,-28,6,23,2.5
1651773635,-28,6,23,0.0
1651773637,-26,4,18,-2.5
1651773639,-28,4,23,2.5
1651773641,-25,4,16,-3.5
1651773643,-28,4,23,3.5
1651773645,-28,4,23,0.0
1651773647,-27,4,21,-1.0
1651773649,-28,4,23,1.0
1651773651,-27,4,21,-1.0
1651773653,-26,4,18,-1.5
1651773655,-26,6,18,0.0
1651773657,-26,4,18,0.0
1651773659,-26,4,18,0.0
1651773661,-28,4,23,2.5
1651773663,-22,4,12,-5.5
1651773665,-28,4,23,5.5
1651773667,-24,4,15,-4.0
1651773669,-25,4,16,0.5
1651773671,-29,4,26,5.0
1651773673,-25,6,16,-5.0
1651773675,-28,2,23,3.5
1651773677,-25,2,16,-3.5
1651773679,-27,2,21,2.5
1651773681,-26,6,18,-1.5
1651773683,-27,6,21,1.5
1651773685,-26,6,18,-1.5
1651773687,-24,6,15,-1.5
1651773689,-27,6,21,3.0
1651773691,-25,6,16,-2.5
1651773693,-27,6,21,2.5
1651773695,-27,4,21,0.0
1651773697,-26,4,18,-1.5
1651773699,-25,4,16,-1.0
1651773701,-26,4,18,1.0
1651773703,-27,4,21,1.5
1651773705,-27,4,21,0.0
1651773707,-27,6,21,0.0
1651773709,-27,4,21,0.0
1651773711,-29,4,26,2.5
1651773713,-27,6,21,-2.5
1651773715,-20,6,9,-6.0
1651773717,-28,4,23,7.0
1651773719,-25,4,16,-3.5
1651773721,-27,6,21,2.5
1651773723,-25,4,16,-2.5
1651773725,-27,4,21,2.5
1651773727,-25,6,16,-2.5
1651773729,-27,4,21,2.5
1651773731,-27,4,21,0.0
1651773733,-27,6,21,0.0
1651773735,-27,6,21,0.0
1651773737,-25,6,16,-2.5
1651773739,-27,6,21,2.5
1651773741,-22,6,12,-4.5
1651773743,-28,4,23,5.5
1651773745,-26,6,18,-2.5
1651773747,-27,4,21,1.5
1651773749,-26,4,18,-1.5
1651773751,-26,4,18,0.0
1651773753,-25,4,16,-1.0
1651773755,-27,6,21,2.5
1651773757,-25,4,16,-2.5
